column,data_type,description,alias
Client Type,string,internal,,Organization type,Organization Type
Client,string,internal,,Organization,Organization
Project,string,internal,,Name of the SEMBU Project,Project name
Project Type,string,internal,,Type of Project,Project type
Task,wikibase-item,internal,,Name of the main task,Project Title
Owner,string,internal,,Name of the Project Owner,Project Owner
Member,string,internal,,Name of the Project Member,Project Member
Duration (in days),time,internal,,Duration of the project,Project Duration
Task Start date,time,internal,,Starting date of SEMBU task,Start time
Task End date,time,internal,,Ending date of SEMBU task,End time
